year month day aet_gleam aet_era5land aet_mgb
1981 8 16 1.654 2.465 1.067
1981 8 17 0.830 1.402 1.032
1981 8 18 1.687 2.746 0.999
1981 8 19 1.853 2.554 0.967
1981 8 20 1.624 2.082 0.936
1981 8 21 1.398 1.777 1.060
1981 8 22 1.293 1.583 0.877
1981 8 23 1.541 1.854 0.956
1981 8 24 1.961 2.626 0.821
1981 8 25 2.072 2.553 1.162
1981 8 26 1.589 1.747 2.091
1981 8 27 1.596 1.336 2.134
1981 8 28 1.059 1.158 2.463
1981 8 29 1.551 1.616 2.709
1981 8 30 1.350 1.360 3.018
1981 8 31 1.051 1.730 3.032
1981 9 1 1.200 1.335 2.453
1981 9 2 1.574 1.795 3.015
1981 9 3 1.357 1.401 3.068
1981 9 4 2.391 3.040 3.070
1981 9 5 2.401 2.962 1.818
1981 9 6 2.207 2.969 1.703
1981 9 7 2.454 3.443 1.779
1981 9 8 2.646 3.206 1.673
1981 9 9 3.013 3.502 1.616
1981 9 10 2.544 2.899 1.562
1981 9 11 2.330 2.984 1.556
1981 9 12 2.852 4.042 1.468
1981 9 13 2.099 2.275 1.399
1981 9 14 1.589 2.417 1.466
1981 9 15 2.175 3.093 2.058
1981 9 16 2.617 3.036 1.378
1981 9 17 2.423 3.177 1.187
1981 9 18 2.030 2.720 1.147
1981 9 19 2.647 3.049 1.123
1981 9 20 2.091 2.321 2.457
1981 9 21 1.238 1.841 2.504
1981 9 22 0.966 1.767 3.103
1981 9 23 1.016 0.780 3.106
1981 9 24 1.240 0.997 3.107
1981 9 25 1.428 1.346 3.109
1981 9 26 2.057 2.263 3.111
1981 9 27 3.207 3.569 1.830
1981 9 28 3.567 4.533 1.743
1981 9 29 1.379 1.692 3.116
1981 9 30 1.872 2.720 3.118
1981 10 1 2.361 2.853 1.891
1981 10 2 3.041 3.838 1.908
1981 10 3 2.795 3.453 2.134
1981 10 4 1.580 1.291 3.421
1981 10 5 2.819 3.143 3.424
1981 10 6 2.262 2.285 3.425
1981 10 7 2.777 3.183 3.427
1981 10 8 0.910 1.583 2.007
1981 10 9 1.682 2.229 2.366
1981 10 10 2.248 2.750 1.922
1981 10 11 1.509 1.926 2.251
1981 10 12 2.407 2.844 2.968
1981 10 13 2.638 3.469 3.390
1981 10 14 3.172 3.847 3.305
1981 10 15 2.062 2.492 2.785
1981 10 16 3.062 4.064 2.052
1981 10 17 1.779 2.465 1.946
1981 10 18 1.838 2.318 1.757
1981 10 19 1.338 1.658 2.583
1981 10 20 2.355 2.834 3.145
1981 10 21 2.578 3.815 3.189
1981 10 22 3.604 4.616 1.916
1981 10 23 3.162 3.975 1.690
1981 10 24 3.482 4.073 1.615
1981 10 25 4.055 4.718 1.545
1981 10 26 2.562 2.787 2.533
1981 10 27 1.613 2.533 2.947
1981 10 28 1.931 2.927 3.458
1981 10 29 1.886 2.548 3.459
1981 10 30 2.540 3.353 3.461
1981 10 31 3.089 3.407 3.463
1981 11 1 4.263 4.801 2.687
1981 11 2 3.024 3.584 2.260
1981 11 3 2.856 3.219 2.657
1981 11 4 3.899 4.798 3.746
1981 11 5 2.920 3.739 2.177
1981 11 6 1.682 2.120 2.722
1981 11 7 3.430 3.840 3.673
1981 11 8 2.554 2.623 3.083
1981 11 9 3.335 3.463 3.615
1981 11 10 5.294 5.665 3.769
1981 11 11 3.174 3.971 2.144
1981 11 12 2.685 3.542 2.084
1981 11 13 4.274 4.920 2.171
1981 11 14 4.375 5.232 2.346
1981 11 15 3.627 4.343 3.174
1981 11 16 3.647 4.805 2.986
1981 11 17 3.519 4.471 1.808
1981 11 18 4.758 4.865 1.630
1981 11 19 2.440 3.244 3.147
1981 11 20 4.841 5.896 1.706
1981 11 21 4.823 5.584 1.466
1981 11 22 4.632 5.461 1.396
1981 11 23 4.603 4.796 1.388
1981 11 24 2.595 2.784 1.902
1981 11 25 3.133 3.760 2.638
1981 11 26 2.481 3.120 1.371
1981 11 27 2.461 3.067 1.308
1981 11 28 2.428 2.663 1.896
1981 11 29 2.655 3.025 2.784
1981 11 30 2.291 2.693 3.026
1981 12 1 2.157 2.589 3.302
1981 12 2 4.571 5.223 3.446
1981 12 3 2.623 3.164 2.327
1981 12 4 2.883 3.630 2.121
1981 12 5 3.467 2.963 2.406
1981 12 6 2.957 2.776 3.496
1981 12 7 1.588 3.110 2.979
1981 12 8 2.079 2.476 2.452
1981 12 9 2.204 2.678 3.494
1981 12 10 4.570 5.194 3.654
1981 12 11 3.809 4.295 2.316
1981 12 12 4.126 4.819 3.553
1981 12 13 3.810 4.999 3.322
1981 12 14 3.752 4.409 2.474
1981 12 15 2.591 3.469 2.417
1981 12 16 5.362 6.453 3.309
1981 12 17 5.046 5.783 2.380
1981 12 18 4.305 5.267 1.725
1981 12 19 3.692 4.247 2.165
1981 12 20 4.332 4.400 1.865
1981 12 21 2.242 2.238 3.203
1981 12 22 2.222 2.040 3.685
1981 12 23 3.207 4.318 4.122
1981 12 24 3.471 4.057 4.123
1981 12 25 2.484 3.329 2.644
1981 12 26 2.785 3.793 2.406
1981 12 27 2.701 3.404 3.212
1981 12 28 3.073 4.218 4.122
1981 12 29 4.357 5.315 2.472
1981 12 30 4.120 4.998 3.033
1981 12 31 5.025 5.804 2.521
1982 1 1 2.443 2.910 3.037
1982 1 2 1.977 3.005 3.824
1982 1 3 3.030 3.200 3.985
