year month day p_brdwgd p_chirps p_cpc p_era5land p_mswep
1980 12 13 5.812 nan 6.261 2.690 0.162
1980 12 14 1.768 nan 2.516 9.595 0.777
1980 12 15 0.235 nan 0.331 0.306 0.019
1980 12 16 0.000 nan 0.005 0.564 0.000
1980 12 17 0.000 nan 0.000 0.062 0.000
1980 12 18 3.862 nan 2.324 2.489 5.497
1980 12 19 18.120 nan 13.605 26.634 18.808
1980 12 20 42.570 nan 44.731 50.371 55.835
1980 12 21 65.110 nan 67.234 26.051 29.849
1980 12 22 17.923 nan 16.544 2.515 2.665
1980 12 23 5.520 nan 2.995 5.456 5.972
1980 12 24 30.786 nan 30.218 18.898 9.277
1980 12 25 1.574 nan 1.507 1.634 0.208
1980 12 26 0.174 nan 0.340 0.833 0.000
1980 12 27 4.026 nan 2.050 18.615 12.907
1980 12 28 16.894 nan 18.576 18.958 15.174
1980 12 29 9.573 nan 8.075 7.338 1.633
1980 12 30 2.767 nan 2.556 2.039 0.737
1980 12 31 0.453 nan 1.897 1.314 1.386
1981 1 1 2.904 0.000 3.155 0.402 0.300
1981 1 2 0.172 7.151 0.321 0.093 0.024
1981 1 3 0.000 1.866 0.308 2.585 0.073
1981 1 4 3.985 0.000 2.744 14.381 21.339
1981 1 5 15.377 13.253 13.562 3.120 1.958
1981 1 6 2.966 9.450 1.273 5.625 10.152
1981 1 7 12.642 6.965 11.466 4.538 4.832
1981 1 8 0.531 0.000 0.622 4.954 0.520
1981 1 9 0.618 3.940 1.142 3.980 0.442
1981 1 10 0.849 8.015 1.122 10.570 0.823
1981 1 11 1.408 5.853 2.423 2.652 0.185
1981 1 12 0.205 0.000 0.633 8.839 2.389
1981 1 13 4.192 3.918 5.389 11.359 8.826
1981 1 14 7.633 0.000 7.963 2.309 4.322
1981 1 15 4.344 0.000 4.107 7.088 4.277
1981 1 16 2.878 0.686 6.718 2.234 0.559
1981 1 17 0.411 3.247 1.044 0.422 0.090
1981 1 18 3.825 5.534 2.095 13.703 13.499
1981 1 19 13.366 6.199 10.552 19.482 10.503
1981 1 20 22.348 32.306 20.205 8.441 19.618
1981 1 21 6.991 0.000 8.803 2.586 1.854
1981 1 22 0.540 0.000 0.724 2.332 0.187
1981 1 23 0.000 0.569 0.041 1.154 0.053
1981 1 24 0.243 8.089 0.424 1.823 0.125
1981 1 25 0.108 2.202 0.438 2.094 0.070
1981 1 26 0.021 1.571 0.110 2.375 0.008
1981 1 27 0.024 0.000 0.104 1.753 0.025
1981 1 28 0.057 0.000 0.136 0.222 0.000
1981 1 29 0.467 19.557 0.268 14.180 8.024
1981 1 30 15.480 1.128 15.081 13.934 22.342
1981 1 31 10.990 0.000 9.718 1.715 1.345
1981 2 1 0.318 9.985 0.489 5.706 0.945
1981 2 2 4.020 18.433 6.121 14.809 18.071
1981 2 3 15.650 6.730 15.173 17.991 3.456
1981 2 4 4.155 13.422 2.429 9.109 15.944
1981 2 5 13.771 0.000 14.299 0.640 8.429
1981 2 6 11.370 0.000 11.106 2.330 7.445
1981 2 7 2.974 0.000 2.949 3.181 1.252
1981 2 8 0.396 0.490 2.484 5.677 0.135
1981 2 9 1.070 10.273 0.499 0.244 1.956
1981 2 10 1.338 9.664 2.046 2.672 4.164
1981 2 11 4.276 11.694 6.448 13.901 1.507
1981 2 12 2.751 22.752 5.533 0.053 0.123
1981 2 13 2.375 8.358 3.981 8.180 10.424
1981 2 14 37.630 7.298 39.266 19.135 23.168
1981 2 15 0.315 0.000 0.927 0.899 0.000
1981 2 16 0.000 0.140 0.019 3.566 0.536
1981 2 17 0.704 0.000 0.394 0.507 0.012
1981 2 18 0.000 0.914 0.000 0.160 2.531
1981 2 19 3.724 14.377 2.387 2.612 9.496
1981 2 20 6.916 0.365 5.091 2.185 0.425
1981 2 21 0.494 2.750 1.383 3.711 1.751
1981 2 22 2.896 3.346 6.939 5.729 1.375
1981 2 23 1.190 2.055 0.975 5.509 0.215
1981 2 24 0.951 2.190 1.001 2.809 9.435
1981 2 25 5.659 4.005 5.261 3.269 0.647
1981 2 26 1.519 3.674 2.903 4.028 3.406
1981 2 27 1.683 1.805 1.104 2.849 6.789
1981 2 28 6.374 1.888 5.666 8.042 1.576
1981 3 1 1.630 9.360 2.143 3.834 0.090
1981 3 2 0.038 7.340 0.038 1.827 3.917
1981 3 3 6.561 0.000 6.346 10.855 2.614
1981 3 4 3.784 0.000 3.514 4.399 1.374
1981 3 5 0.852 0.743 0.921 0.363 0.350
1981 3 6 2.255 10.482 3.244 13.478 6.882
1981 3 7 4.133 12.918 4.205 22.483 6.910
1981 3 8 7.312 6.582 8.395 16.673 2.765
1981 3 9 3.895 0.000 4.872 3.150 1.135
1981 3 10 1.293 2.443 1.032 2.609 0.376
1981 3 11 0.062 0.000 0.209 4.240 0.052
1981 3 12 0.071 0.000 0.125 0.496 0.054
1981 3 13 0.004 0.000 0.044 0.422 0.000
1981 3 14 0.000 0.000 0.186 1.193 0.001
1981 3 15 0.006 0.000 0.000 22.569 0.478
1981 3 16 0.029 7.813 0.346 8.631 3.918
1981 3 17 3.319 0.000 3.291 4.273 0.579
1981 3 18 0.259 0.000 0.146 1.054 0.011
1981 3 19 0.080 3.448 0.137 1.679 0.639
1981 3 20 1.024 0.681 0.647 5.167 1.267
1981 3 21 0.478 0.000 0.496 1.297 0.046
1981 3 22 0.000 0.000 0.000 0.080 0.000
1981 3 23 0.000 0.000 0.022 0.265 0.000
1981 3 24 0.000 0.000 0.000 0.263 0.000
1981 3 25 0.000 0.324 0.000 0.099 0.000
1981 3 26 0.000 3.272 0.100 0.566 0.000
1981 3 27 0.986 2.879 0.595 3.810 6.281
1981 3 28 14.324 6.827 18.474 10.716 14.961
1981 3 29 13.959 16.589 15.363 15.953 9.335
1981 3 30 2.731 0.000 3.440 2.249 5.909
1981 3 31 7.234 0.000 5.330 6.480 4.850
1981 4 1 2.722 0.000 2.369 1.355 0.145
1981 4 2 0.118 0.000 0.191 1.459 0.074
1981 4 3 0.961 10.436 0.435 0.242 2.434
1981 4 4 2.986 0.000 3.113 0.551 0.615
1981 4 5 0.449 0.000 0.482 0.837 0.043
1981 4 6 0.004 0.000 0.000 0.373 0.000
1981 4 7 0.000 0.000 0.006 0.188 0.001
1981 4 8 0.205 0.000 0.149 3.739 2.768
1981 4 9 3.469 0.000 2.808 7.028 3.330
1981 4 10 0.031 0.000 0.171 0.438 0.000
1981 4 11 0.000 4.847 0.015 0.111 0.000
1981 4 12 0.000 1.070 0.000 0.036 0.000
1981 4 13 0.000 0.000 0.014 0.124 1.388
1981 4 14 2.746 0.000 2.498 4.090 3.145
1981 4 15 9.880 13.373 11.375 50.903 19.380
1981 4 16 13.232 0.000 14.987 3.682 1.655
1981 4 17 0.362 0.000 0.568 1.556 1.081
1981 4 18 0.864 0.000 1.467 0.273 0.167
1981 4 19 0.000 0.000 0.300 0.042 0.000
1981 4 20 0.000 0.000 0.159 0.003 0.000
1981 4 21 0.000 0.000 0.000 0.012 0.000
1981 4 22 0.277 0.000 0.193 0.075 0.008
1981 4 23 0.803 5.037 0.712 3.911 1.062
1981 4 24 5.228 1.065 2.722 5.896 8.131
1981 4 25 25.956 22.878 23.039 15.805 28.209
1981 4 26 23.060 17.782 25.861 14.372 18.505
1981 4 27 7.974 28.331 8.218 30.355 6.051
1981 4 28 2.597 3.682 2.736 15.945 5.491
1981 4 29 6.956 0.000 10.802 0.483 0.224
1981 4 30 0.011 0.000 0.030 0.004 0.000
1981 5 1 0.000 0.000 0.000 0.061 0.000
1981 5 2 0.000 0.000 0.000 0.110 0.000
1981 5 3 0.358 6.039 0.171 0.085 2.514
1981 5 4 2.626 0.071 2.119 0.351 0.019
1981 5 5 0.083 0.000 0.105 0.076 0.025
1981 5 6 4.862 3.343 3.671 0.328 3.061
1981 5 7 1.502 0.000 0.897 0.100 0.752
1981 5 8 0.000 0.000 0.116 0.356 0.000
1981 5 9 0.000 0.000 0.000 0.043 0.000
1981 5 10 0.007 0.000 0.000 0.535 0.000
1981 5 11 0.000 0.000 0.000 1.566 0.013
1981 5 12 0.000 0.000 0.000 0.326 0.000
1981 5 13 0.000 0.000 0.000 0.009 0.000
1981 5 14 0.000 0.000 0.000 0.275 0.164
1981 5 15 0.401 0.000 0.635 0.021 0.044
1981 5 16 1.708 0.000 2.012 1.817 1.920
1981 5 17 1.679 0.000 2.569 2.264 1.369
1981 5 18 2.275 0.000 1.883 2.719 4.548
1981 5 19 2.928 0.000 3.165 1.533 2.483
1981 5 20 0.992 0.000 0.694 4.305 0.331
1981 5 21 0.446 3.835 0.394 0.296 0.050
1981 5 22 0.000 0.000 0.260 0.751 0.000
1981 5 23 0.000 0.000 0.087 0.087 0.000
1981 5 24 0.000 0.000 0.033 0.249 0.010
1981 5 25 0.032 0.000 0.030 0.061 0.069
1981 5 26 0.436 3.509 0.734 4.552 0.975
1981 5 27 13.408 35.289 15.520 31.604 18.845
1981 5 28 10.808 0.368 12.839 1.243 1.270
1981 5 29 0.192 0.000 0.336 0.002 0.000
1981 5 30 0.007 0.000 0.000 0.000 0.000
1981 5 31 0.000 0.000 0.059 0.034 0.003
1981 6 1 0.394 0.000 0.620 0.062 0.437
1981 6 2 0.823 3.412 0.376 0.096 0.513
1981 6 3 9.444 7.732 8.058 3.585 11.828
1981 6 4 0.000 0.000 0.122 0.166 0.000
1981 6 5 0.518 3.380 0.379 1.436 0.953
1981 6 6 3.857 11.474 3.471 12.478 14.627
1981 6 7 26.347 33.642 33.301 16.034 15.414
1981 6 8 7.127 0.000 10.841 1.596 2.029
1981 6 9 0.000 0.000 0.281 0.000 0.000
1981 6 10 0.823 0.000 0.602 0.114 0.074
1981 6 11 5.947 7.975 6.069 9.695 5.606
1981 6 12 0.089 0.000 0.079 1.372 0.039
