year month day tmax_cpc tmax_era5land tmax_brdwgd tmean_era5land tmin_cpc tmin_era5land tmin_brdwgd
1980 3 7 28.45 26.31 22.94 20.21 18.16 16.97 15.21
1980 3 8 26.46 23.64 23.47 19.17 17.52 16.58 15.39
1980 3 9 25.95 24.83 22.65 19.74 18.14 16.72 15.13
1980 3 10 25.66 25.80 23.38 19.95 18.55 15.01 15.48
1980 3 11 29.77 25.55 23.30 20.09 18.15 16.77 15.96
1980 3 12 27.75 23.53 20.62 19.31 18.34 17.73 16.03
1980 3 13 26.09 22.16 20.34 18.46 17.34 15.35 14.66
1980 3 14 24.30 20.38 19.59 16.72 14.82 14.51 11.64
1980 3 15 23.97 20.12 19.29 16.22 15.67 12.19 12.54
1980 3 16 23.31 21.98 19.78 18.31 16.80 15.73 13.50
1980 3 17 22.85 23.44 21.65 19.53 17.00 16.85 14.41
1980 3 18 24.65 24.24 23.63 20.65 18.50 18.18 16.03
1980 3 19 26.97 25.92 24.50 21.14 19.32 17.97 16.72
1980 3 20 27.14 26.04 24.26 20.74 18.02 17.53 16.23
1980 3 21 27.15 26.09 24.75 20.81 17.81 16.51 14.05
1980 3 22 28.31 26.67 24.24 21.40 18.48 16.43 13.43
1980 3 23 28.64 27.88 29.10 22.21 18.68 17.14 15.39
1980 3 24 30.46 26.99 28.45 22.14 19.16 17.97 14.28
1980 3 25 28.65 26.82 28.57 21.93 19.95 17.45 16.22
1980 3 26 29.93 27.54 28.33 21.64 20.93 17.84 16.84
1980 3 27 29.57 27.22 26.83 20.86 18.51 17.47 15.56
1980 3 28 28.59 23.49 25.08 20.18 18.34 17.26 16.09
1980 3 29 25.94 22.26 22.43 18.33 18.02 16.49 15.27
1980 3 30 25.77 19.42 19.05 16.37 17.14 13.03 12.80
1980 3 31 23.27 17.64 20.81 14.56 14.13 11.75 10.95
1980 4 1 21.61 19.21 21.50 15.34 14.04 11.96 11.83
1980 4 2 23.43 20.71 22.36 15.90 13.02 12.42 10.54
1980 4 3 23.25 22.00 21.55 16.96 13.02 13.27 11.06
1980 4 4 23.90 22.98 23.78 18.10 15.52 14.08 11.57
1980 4 5 23.76 23.07 23.03 17.80 15.23 12.97 13.46
1980 4 6 25.24 21.34 21.71 17.29 15.18 14.57 13.94
1980 4 7 24.57 20.84 21.77 16.58 14.38 13.84 11.94
1980 4 8 23.58 19.38 21.20 15.86 15.37 13.14 12.50
1980 4 9 23.75 23.84 25.99 18.50 15.38 14.45 12.47
1980 4 10 26.57 24.04 26.90 19.49 16.86 15.81 14.31
1980 4 11 26.26 25.50 27.82 20.15 18.69 17.08 14.64
1980 4 12 28.92 21.45 26.35 18.64 21.13 16.57 15.64
1980 4 13 27.00 16.70 18.91 14.72 14.99 12.33 12.25
1980 4 14 21.18 12.65 14.15 11.40 12.85 9.07 7.14
1980 4 15 17.18 15.21 14.76 10.84 9.31 8.14 5.11
1980 4 16 16.55 17.34 17.59 11.35 7.14 6.34 1.56
1980 4 17 18.90 15.73 18.10 11.55 8.69 6.87 5.46
1980 4 18 20.45 22.54 23.59 17.17 13.58 12.87 12.35
1980 4 19 24.71 23.49 22.27 18.26 14.89 14.02 14.32
1980 4 20 23.07 24.21 24.92 18.88 15.72 14.32 13.00
1980 4 21 25.20 22.47 24.36 18.38 16.19 14.95 14.35
1980 4 22 24.27 21.73 24.45 16.77 15.54 13.05 12.04
1980 4 23 23.95 21.45 23.36 16.85 15.69 13.80 12.24
1980 4 24 23.14 22.41 24.65 17.34 15.29 13.82 12.08
1980 4 25 23.26 20.79 23.55 16.17 14.86 13.06 12.40
1980 4 26 22.92 19.17 20.98 15.20 14.53 12.14 10.35
1980 4 27 22.07 19.51 22.20 15.52 15.18 12.88 11.39
1980 4 28 23.59 22.02 23.77 16.42 14.35 11.65 10.71
1980 4 29 24.09 21.23 23.38 16.09 14.17 11.50 11.04
1980 4 30 23.79 21.73 23.36 16.58 15.52 12.12 10.98
1980 5 1 24.28 14.66 16.72 12.78 15.14 11.48 10.27
1980 5 2 19.18 11.38 11.95 10.46 10.37 9.66 8.34
1980 5 3 19.43 10.85 11.82 9.00 10.34 5.75 6.25
1980 5 4 15.89 12.36 13.58 7.03 6.15 2.12 1.93
1980 5 5 17.72 16.63 18.28 9.06 5.23 1.20 1.40
1980 5 6 19.71 19.22 19.38 11.94 8.03 6.27 5.63
1980 5 7 20.18 18.49 17.23 12.92 10.01 7.53 7.87
1980 5 8 20.32 16.11 19.70 13.13 12.68 10.87 8.90
1980 5 9 20.76 15.87 16.77 13.24 12.37 10.99 10.68
1980 5 10 20.21 16.98 15.88 14.74 14.18 12.93 9.76
1980 5 11 21.96 21.33 22.29 16.36 12.21 12.00 8.36
1980 5 12 22.90 21.23 22.65 16.23 10.46 12.86 10.16
1980 5 13 22.59 19.28 21.96 15.21 13.35 11.98 11.05
1980 5 14 21.75 19.29 21.68 15.47 14.03 12.81 10.53
1980 5 15 22.76 20.71 22.93 16.03 14.87 12.14 10.45
1980 5 16 24.43 19.58 20.38 14.91 14.55 10.38 11.03
1980 5 17 22.37 17.69 17.02 14.82 13.85 12.86 11.09
1980 5 18 19.45 16.99 19.99 14.58 14.53 12.77 11.98
1980 5 19 21.82 17.90 20.36 15.15 15.02 13.02 12.02
1980 5 20 22.06 18.12 20.59 15.88 15.30 14.10 10.35
1980 5 21 22.23 17.15 19.60 15.97 17.02 15.09 11.95
1980 5 22 23.00 17.74 16.29 14.66 14.84 12.23 10.94
1980 5 23 19.86 17.44 18.50 13.35 11.19 9.98 7.17
1980 5 24 20.03 18.29 18.62 12.97 8.89 8.59 8.84
1980 5 25 21.38 17.43 20.02 13.14 10.39 9.78 7.90
1980 5 26 20.86 17.13 19.38 12.86 12.17 10.00 8.88
1980 5 27 21.39 18.73 19.43 13.48 10.99 10.03 6.74
1980 5 28 21.74 19.82 20.21 13.70 12.19 9.05 7.75
1980 5 29 22.76 19.24 20.80 14.76 13.06 10.88 9.59
1980 5 30 21.89 18.87 22.07 14.80 12.73 11.81 10.72
1980 5 31 23.19 19.61 22.52 15.15 13.53 11.51 10.77
1980 6 1 24.66 16.58 16.74 13.87 15.20 11.06 9.56
1980 6 2 20.14 14.83 16.65 10.45 8.03 6.99 2.54
1980 6 3 16.40 7.97 8.79 5.36 6.74 0.57 0.14
1980 6 4 12.65 10.32 11.30 3.92 2.52 -1.67 -1.10
1980 6 5 12.45 11.68 15.40 5.85 2.93 1.13 -0.82
1980 6 6 16.65 16.11 18.69 9.36 6.52 4.12 1.30
1980 6 7 22.10 18.01 19.50 11.80 7.75 6.35 3.63
1980 6 8 20.34 16.75 21.49 12.14 8.57 8.51 6.20
1980 6 9 21.01 19.24 21.43 13.43 11.68 8.98 6.37
1980 6 10 22.53 19.51 20.44 14.32 12.91 9.92 7.94
1980 6 11 25.37 19.38 21.42 13.50 13.09 8.50 9.10
1980 6 12 23.23 18.05 20.32 13.90 12.61 10.31 8.91
1980 6 13 19.82 13.03 15.14 10.05 12.11 5.30 6.05
1980 6 14 18.98 11.33 11.67 7.17 6.63 3.76 1.77
1980 6 15 12.87 11.87 14.22 6.59 3.38 2.74 0.51
1980 6 16 16.30 13.51 18.09 7.94 7.53 3.73 3.66
1980 6 17 19.32 16.81 19.43 9.53 7.92 3.76 3.20
1980 6 18 20.33 17.62 21.70 10.85 9.12 4.83 6.50
1980 6 19 18.23 18.48 18.38 11.97 8.95 7.01 6.10
1980 6 20 18.31 8.48 13.52 7.44 10.07 6.68 5.95
1980 6 21 14.00 9.06 9.96 6.84 8.68 5.26 5.33
1980 6 22 13.84 11.09 13.38 7.19 9.58 4.47 3.78
1980 6 23 15.34 10.65 13.13 7.09 5.48 4.20 3.41
1980 6 24 15.94 12.01 14.20 9.26 7.57 5.79 4.39
1980 6 25 16.50 13.38 13.54 11.20 10.73 7.84 5.70
1980 6 26 15.65 9.48 9.64 5.43 4.24 0.97 0.73
1980 6 27 10.69 8.57 10.62 2.86 0.40 -2.24 -4.08
1980 6 28 12.31 11.61 16.76 5.79 1.88 1.02 -0.73
1980 6 29 17.83 18.34 22.87 11.81 7.91 6.28 4.10
1980 6 30 18.74 19.56 22.73 14.81 12.11 10.73 10.21
1980 7 1 22.12 14.20 13.17 8.85 8.86 5.54 4.35
1980 7 2 12.86 5.91 5.25 4.21 3.89 2.85 1.53
1980 7 3 10.08 7.73 7.56 5.15 4.75 2.51 1.73
1980 7 4 10.40 9.71 12.07 7.18 6.24 5.51 3.44
1980 7 5 14.28 11.34 13.26 8.68 8.23 6.80 5.48
1980 7 6 16.75 13.33 16.99 9.60 7.43 7.31 6.35
1980 7 7 18.22 13.74 16.70 9.84 9.75 6.35 9.19
1980 7 8 18.24 14.17 15.80 12.14 11.91 10.15 10.72
1980 7 9 17.07 15.66 14.15 12.15 10.87 7.07 7.43
1980 7 10 15.93 13.06 14.04 8.95 8.54 5.92 3.03
1980 7 11 14.37 12.83 12.78 9.95 8.66 7.96 7.38
1980 7 12 15.56 16.18 15.88 11.46 9.54 6.84 9.56
1980 7 13 18.14 15.27 16.86 13.02 10.87 10.85 11.21
1980 7 14 20.19 15.23 18.32 12.43 13.06 5.55 4.43
1980 7 15 21.20 9.67 11.62 4.41 2.39 -0.50 -2.46
1980 7 16 12.52 13.20 16.09 6.46 2.03 0.94 0.43
1980 7 17 16.63 18.45 18.94 10.69 4.73 2.91 6.12
1980 7 18 19.37 18.08 20.25 13.09 8.88 9.87 9.18
1980 7 19 16.71 18.97 18.77 13.49 9.10 9.32 10.65
1980 7 20 19.17 20.47 21.73 15.93 13.10 12.16 11.49
1980 7 21 20.10 15.24 15.98 11.68 9.21 7.70 5.01
1980 7 22 17.85 17.41 16.52 10.70 6.20 6.06 5.86
1980 7 23 18.23 15.06 16.70 8.80 6.40 2.69 3.93
1980 7 24 17.04 15.17 17.32 9.87 4.76 6.33 5.45
1980 7 25 19.05 16.55 19.71 10.80 6.92 6.26 7.29
1980 7 26 20.34 20.21 21.50 15.74 11.59 11.33 11.19
1980 7 27 21.75 15.18 17.82 10.84 12.28 5.71 5.77
1980 7 28 18.13 14.78 17.20 10.12 5.58 3.95 4.82
1980 7 29 18.40 15.46 15.35 13.13 12.76 9.68 9.38
1980 7 30 15.33 8.14 10.45 5.53 6.74 3.51 1.32
1980 7 31 10.46 10.22 9.84 4.26 1.09 -0.28 -3.41
1980 8 1 11.17 12.71 13.97 6.00 -0.05 0.41 -1.86
1980 8 2 14.63 15.97 16.66 8.96 5.51 3.37 3.00
1980 8 3 16.60 13.93 17.67 10.85 9.85 8.73 6.09
1980 8 4 20.81 17.75 21.77 12.39 9.75 9.08 5.72
1980 8 5 18.96 19.03 20.15 14.12 10.86 10.10 8.27
1980 8 6 18.88 13.05 14.07 11.33 11.60 9.26 8.81
1980 8 7 21.27 16.66 17.24 11.32 10.77 6.21 6.37
1980 8 8 17.91 14.86 15.38 9.66 7.13 4.45 0.01
1980 8 9 16.61 16.72 16.79 10.74 7.28 5.26 4.51
1980 8 10 19.41 18.19 19.22 12.25 9.76 7.33 7.32
1980 8 11 20.04 14.70 16.54 10.61 11.41 7.58 7.38
1980 8 12 13.59 10.10 15.05 8.13 7.16 6.27 3.76
1980 8 13 18.13 15.40 17.70 10.04 8.07 6.58 5.39
1980 8 14 17.75 17.73 19.46 12.34 8.93 7.56 7.41
1980 8 15 20.30 20.10 20.87 13.73 8.62 7.98 7.04
1980 8 16 21.63 21.49 21.90 15.55 11.28 9.98 8.43
1980 8 17 19.76 20.45 18.73 15.62 12.78 11.39 11.31
1980 8 18 19.23 14.07 15.87 11.74 11.25 10.14 8.74
1980 8 19 17.60 16.81 16.23 14.35 12.59 12.32 9.37
1980 8 20 17.26 15.39 14.07 13.54 12.90 12.15 8.76
1980 8 21 22.09 17.65 17.45 14.95 12.92 13.26 10.90
1980 8 22 17.24 15.35 16.31 13.84 13.73 10.14 8.47
1980 8 23 15.42 13.70 14.87 9.01 7.21 5.22 1.03
1980 8 24 13.64 14.54 10.69 9.07 5.08 3.62 1.88
1980 8 25 14.46 14.19 12.85 11.06 8.90 8.66 4.96
1980 8 26 15.56 13.59 11.45 8.79 6.25 3.57 1.69
1980 8 27 14.55 11.03 11.36 5.27 2.63 -0.33 -3.13
1980 8 28 17.24 12.71 14.79 7.45 4.92 2.37 2.29
1980 8 29 19.25 13.79 16.97 9.48 7.42 5.74 3.83
1980 8 30 22.38 17.68 20.02 12.21 9.95 8.96 6.63
1980 8 31 19.78 17.80 20.04 14.35 12.27 10.71 8.50
1980 9 1 18.53 17.48 18.50 14.30 12.70 12.00 9.58
1980 9 2 15.22 14.08 17.22 12.88 11.34 11.70 9.28
1980 9 3 18.60 18.31 17.25 14.00 10.58 10.59 8.45
1980 9 4 16.73 12.28 12.18 8.29 8.93 3.98 1.08
1980 9 5 15.07 14.21 14.35 6.85 2.03 -0.71 -2.20
1980 9 6 17.26 17.44 18.59 9.61 2.77 1.51 -0.02
1980 9 7 19.30 17.89 20.92 10.89 4.08 3.73 3.42
1980 9 8 20.26 23.17 19.96 15.62 11.35 9.00 7.84
1980 9 9 16.41 15.31 14.66 11.82 10.99 7.05 4.06
1980 9 10 16.54 14.14 14.42 8.67 6.99 3.13 1.00
1980 9 11 19.39 17.88 18.79 11.67 8.61 7.28 5.31
1980 9 12 19.23 18.17 18.47 12.44 10.95 7.37 6.56
1980 9 13 17.95 16.58 17.83 12.66 11.68 8.83 8.64
1980 9 14 18.82 18.33 17.90 14.91 14.00 12.48 10.70
1980 9 15 18.25 14.67 13.65 12.06 12.88 7.05 5.99
1980 9 16 14.63 7.85 8.74 4.50 7.60 0.37 0.15
1980 9 17 17.83 9.99 13.40 4.90 1.29 -1.25 -2.86
1980 9 18 19.39 15.45 16.99 9.57 8.43 4.91 5.40
1980 9 19 20.96 17.25 18.17 11.96 9.43 6.32 7.28
1980 9 20 18.83 16.59 18.07 13.45 10.61 10.95 9.59
1980 9 21 17.35 15.37 12.55 11.66 11.91 6.41 4.83
1980 9 22 13.93 12.77 10.35 7.44 4.52 3.25 -0.76
1980 9 23 16.40 14.71 14.80 8.09 4.01 3.22 0.56
1980 9 24 20.12 15.52 15.21 9.19 5.02 4.40 1.17
1980 9 25 17.58 13.21 12.84 7.85 2.85 3.40 0.65
1980 9 26 18.73 12.44 14.89 7.19 5.17 2.22 0.75
1980 9 27 16.89 12.70 12.42 8.41 6.54 4.49 2.82
1980 9 28 15.71 9.80 12.00 8.69 10.05 7.60 6.18
1980 9 29 17.09 14.94 16.65 11.14 10.05 8.78 7.38
1980 9 30 20.13 20.77 22.57 14.61 11.64 9.62 8.68
1980 10 1 21.75 19.49 21.06 14.39 12.16 9.60 10.42
1980 10 2 20.14 21.30 22.72 15.99 14.82 12.93 10.60
1980 10 3 21.71 25.84 26.67 18.61 14.55 12.95 11.62
1980 10 4 22.69 25.33 21.98 18.40 14.67 10.85 9.45
1980 10 5 17.01 11.89 13.17 8.85 8.35 5.90 4.63
1980 10 6 16.81 13.44 13.40 7.70 6.84 3.31 0.83
1980 10 7 15.54 9.99 11.24 7.44 6.11 4.78 4.50
1980 10 8 15.50 11.04 12.12 9.00 9.20 6.55 6.78
1980 10 9 19.55 18.32 15.28 12.57 9.53 8.45 7.31
1980 10 10 19.70 15.93 18.22 12.16 11.02 9.12 7.76
1980 10 11 17.03 14.08 14.23 11.89 12.03 10.57 9.90
1980 10 12 16.89 13.44 13.00 10.81 11.19 8.82 9.05
1980 10 13 19.20 15.04 14.23 10.92 11.01 7.19 7.98
1980 10 14 19.21 15.48 17.75 11.89 11.35 8.13 8.24
1980 10 15 21.54 16.95 19.55 12.80 10.21 9.71 7.26
1980 10 16 22.07 18.45 20.98 13.34 12.34 9.51 8.45
1980 10 17 23.25 21.78 23.05 15.40 12.52 10.96 8.44
1980 10 18 20.61 23.53 23.23 17.16 14.51 13.05 12.25
1980 10 19 23.39 23.48 22.89 17.72 14.02 13.27 12.72
1980 10 20 26.17 23.96 22.73 18.67 14.86 14.28 13.13
1980 10 21 23.33 21.98 22.34 18.50 15.34 14.92 13.71
1980 10 22 22.87 21.00 20.63 16.93 14.86 9.97 10.62
1980 10 23 16.52 11.20 15.49 9.01 9.95 7.18 6.70
1980 10 24 16.21 12.93 12.04 9.94 9.98 7.59 6.77
1980 10 25 22.87 20.59 22.11 14.54 10.87 9.90 9.56
1980 10 26 24.25 23.42 24.88 17.63 15.34 13.30 13.92
1980 10 27 21.88 23.31 21.27 18.52 16.52 15.14 13.48
1980 10 28 22.86 22.27 20.25 18.39 14.35 14.87 12.19
1980 10 29 23.40 20.32 23.22 17.57 15.34 15.41 13.59
1980 10 30 21.54 19.68 18.88 16.94 17.00 12.01 11.54
1980 10 31 20.34 18.13 16.95 12.75 11.29 8.42 5.83
1980 11 1 19.12 14.82 18.07 10.73 8.28 6.95 4.25
1980 11 2 21.63 18.14 19.79 12.65 9.99 8.19 6.40
1980 11 3 23.64 22.86 23.46 15.45 12.63 10.85 8.00
1980 11 4 23.64 22.44 23.37 16.99 14.79 13.05 11.11
1980 11 5 24.30 22.59 23.66 17.37 14.01 13.17 11.64
1980 11 6 22.57 21.61 20.05 17.42 15.98 14.89 13.35
1980 11 7 27.54 22.25 22.51 18.12 14.99 15.35 10.54
1980 11 8 24.94 22.74 23.25 18.15 14.57 14.74 12.48
1980 11 9 20.75 16.74 17.47 15.17 15.78 13.59 13.00
1980 11 10 21.11 19.50 18.98 15.53 13.92 12.87 12.04
1980 11 11 19.13 13.76 14.62 12.50 13.46 10.88 10.15
1980 11 12 20.93 16.34 17.68 12.36 10.99 9.59 8.29
1980 11 13 21.13 16.92 15.86 12.58 10.14 9.01 7.11
1980 11 14 23.30 20.56 21.64 14.50 10.82 9.67 7.73
1980 11 15 24.47 21.55 24.02 15.32 14.29 10.82 10.66
1980 11 16 24.64 23.42 25.25 16.71 13.34 10.96 11.11
1980 11 17 22.09 18.93 20.35 14.93 15.46 11.22 11.27
1980 11 18 22.28 19.88 21.73 14.21 13.18 9.75 9.55
1980 11 19 21.61 18.75 19.18 14.83 14.64 10.23 12.18
1980 11 20 25.75 23.09 24.32 17.79 15.81 13.36 12.48
1980 11 21 24.93 22.09 22.63 18.51 17.14 15.84 14.86
1980 11 22 24.44 23.21 21.27 18.75 17.64 15.58 15.47
1980 11 23 27.40 22.89 24.51 18.01 16.66 14.97 13.64
1980 11 24 20.81 18.65 19.73 14.87 13.79 12.27 10.82
1980 11 25 23.76 22.30 23.00 16.38 12.32 12.22 10.29
1980 11 26 24.27 21.44 22.54 15.48 13.16 11.12 10.31
1980 11 27 24.62 21.55 23.96 16.36 14.32 12.25 11.76
1980 11 28 23.59 16.89 21.85 14.39 14.83 11.93 11.83
1980 11 29 20.95 16.78 17.55 15.21 15.32 13.47 13.39
1980 11 30 24.48 20.28 23.53 17.36 16.24 15.15 13.98
1980 12 1 22.39 21.94 22.81 18.22 16.96 16.34 14.07
1980 12 2 21.33 18.59 21.57 17.15 17.10 16.47 14.82
1980 12 3 26.33 23.33 23.69 18.88 15.47 15.93 13.44
1980 12 4 24.80 22.57 22.86 17.66 16.29 15.05 13.28
1980 12 5 25.12 19.73 22.20 16.81 16.29 14.79 14.08
1980 12 6 24.35 21.27 23.06 17.27 16.28 13.89 13.99
1980 12 7 24.38 22.22 23.94 17.88 15.91 14.25 13.26
1980 12 8 26.21 24.34 24.75 18.19 14.64 12.16 10.93
1980 12 9 27.06 25.82 27.24 19.77 17.59 14.66 13.89
1980 12 10 26.91 25.25 22.30 19.46 18.56 15.76 15.14
1980 12 11 28.03 26.53 27.00 19.85 16.63 14.59 13.60
1980 12 12 23.08 22.81 21.98 18.00 17.13 15.42 15.13
1980 12 13 26.90 21.50 24.85 17.94 16.98 14.85 13.97
1980 12 14 28.00 23.78 22.25 19.02 16.92 15.24 13.08
1980 12 15 30.15 23.04 25.20 17.61 13.98 11.17 9.76
1980 12 16 25.41 22.32 25.09 17.63 15.44 13.58 12.54
1980 12 17 27.55 27.11 25.63 19.45 14.63 11.86 12.64
1980 12 18 29.13 27.34 29.09 21.57 18.82 16.31 12.89
1980 12 19 23.00 21.55 19.45 18.76 16.96 16.64 14.55
1980 12 20 19.68 16.54 16.15 15.08 15.86 13.21 11.39
1980 12 21 18.91 15.29 14.52 14.07 13.31 13.22 11.13
1980 12 22 21.36 17.37 16.53 15.04 14.96 13.09 11.39
1980 12 23 23.22 18.79 20.42 16.18 14.63 13.77 11.76
1980 12 24 24.69 19.22 23.22 16.59 15.14 14.30 12.83
1980 12 25 25.37 21.91 24.11 17.72 16.62 14.22 14.09
1980 12 26 25.52 22.43 23.68 18.30 16.46 15.01 13.30
1980 12 27 24.34 21.32 23.39 17.59 16.96 15.15 13.22
1980 12 28 22.75 22.70 20.48 18.52 16.97 16.23 14.59
1980 12 29 26.19 23.54 24.10 19.36 17.13 16.33 15.58
1980 12 30 24.95 22.42 23.86 18.09 17.61 14.84 15.06
1980 12 31 25.37 22.18 23.64 17.45 17.13 13.05 14.37
1981 1 1 NaN 25.37 26.55 19.57 NaN 14.70 14.62
1981 1 2 NaN 24.68 25.93 19.88 NaN 16.31 13.79
1981 1 3 27.82 26.18 26.57 20.06 16.76 14.83 12.84
1981 1 4 23.92 21.10 26.74 18.59 17.87 16.60 14.78
1981 1 5 24.20 20.93 26.17 18.11 16.12 15.87 14.92
1981 1 6 25.67 23.24 25.21 19.05 17.02 15.62 14.61
1981 1 7 24.77 22.31 25.08 19.11 18.08 15.68 15.19
1981 1 8 23.09 17.18 20.94 15.57 16.33 14.68 14.27
1981 1 9 22.71 20.58 24.18 17.06 9.61 14.71 14.79
1981 1 10 25.64 20.99 24.75 17.62 16.76 16.23 14.69
1981 1 11 24.99 21.31 22.29 17.73 16.73 15.51 15.04
1981 1 12 24.94 22.41 23.59 18.16 16.97 14.99 14.80
1981 1 13 27.22 24.09 22.66 19.01 16.89 15.28 14.46
1981 1 14 24.83 20.95 22.62 17.90 17.09 14.56 13.94
1981 1 15 23.97 19.75 22.26 16.49 17.76 13.88 13.04
1981 1 16 24.09 20.90 22.08 16.48 16.56 13.26 12.82
1981 1 17 25.02 23.47 25.51 18.51 16.78 13.44 14.99
1981 1 18 27.11 24.57 24.47 19.72 18.11 17.31 16.38
1981 1 19 26.97 24.14 25.51 19.65 15.54 16.75 14.27
1981 1 20 29.80 23.25 24.14 20.01 17.86 17.74 15.78
1981 1 21 24.37 21.38 21.00 17.52 17.21 13.00 13.92
1981 1 22 22.05 17.28 18.23 14.29 13.74 12.35 11.53
1981 1 23 23.32 20.71 23.81 16.66 15.20 13.28 10.34
1981 1 24 25.31 21.58 24.89 17.84 15.22 14.67 13.92
1981 1 25 25.17 21.50 23.05 18.19 16.62 15.60 13.85
1981 1 26 26.34 22.30 24.80 18.57 16.77 15.55 14.62
1981 1 27 26.79 23.51 26.27 19.44 17.11 16.64 14.14
1981 1 28 27.29 25.18 27.34 20.23 18.45 16.07 15.78
1981 1 29 28.55 25.68 27.75 20.31 15.80 17.12 16.76
1981 1 30 22.54 18.37 19.80 16.74 16.79 14.17 13.49
